city,country,tags,avg_daily_cost_usd,best_season,popularity_score,latitude,longitude,festivals,festivals_review_needed
Mykonos,Greece,"beach,nightlife,luxury,romantic",150,summer,88,37.4467,25.3289,Greek Orthodox Easter [04-01 to 05-06],
Rhodes,Greece,"beach,history,relaxing",85,summer,74,36.4341,28.2176,Greek Orthodox Easter [04-01 to 05-06],
Faro,Portugal,"beach,relaxing,nature,budget-friendly",65,summer,66,37.0194,-7.9322,Liberty Day (Freedom Day) [04-25],
Austin,USA,"nightlife,food,culture,shopping",150,spring,78,30.2672,-97.7431,South by Southwest (SXSW) [03-06 to 03-16],
Nashville,USA,"nightlife,culture,food",140,spring,76,36.1627,-86.7816,CMA Fest [06-05 to 06-09],
Seattle,USA,"culture,nature,food,shopping",170,summer,74,47.6062,-122.3321,,Seafair [08-01 to 08-10]
Portland,USA,"food,culture,nature,relaxing",150,summer,68,45.5051,-122.675,Portland Rose Festival [06-01 to 06-30],
Denver,USA,"mountains,adventure,nature",140,summer,70,39.7392,-104.9903,,
Boston,USA,"history,culture,food,shopping",175,autumn,78,42.3601,-71.0589,Boston Marathon / Patriots' Day (3rd Mon of Apr) [04-15 to 04-21],
Washington DC,USA,"history,culture,shopping",165,spring,80,38.9072,-77.0369,National Cherry Blossom Festival (bloom-dependent) [03-20 to 04-17],
Savannah,USA,"history,culture,romantic",120,spring,66,32.0809,-81.0912,Savannah St. Patrick's Day [03-17],
Charleston,USA,"history,culture,food,romantic",130,spring,70,32.7765,-79.9311,Spoleto Festival USA [05-24 to 06-09],
Key West,USA,"beach,relaxing,nightlife,romantic",160,winter,74,24.5551,-81.78,"Fantasy Fest (date varies, late Oct) [10-18 to 10-27]",
Calgary,Canada,"mountains,adventure,nature",130,summer,65,51.0447,-114.0719,Calgary Stampede [07-04 to 07-13],
Quebec City,Canada,"history,culture,romantic",120,autumn,74,46.8139,-71.208,Quebec Winter Carnival [01-30 to 02-15],
Ottawa,Canada,"history,culture,family-friendly",115,summer,62,45.4215,-75.6972,"Canada Day [07-01]; Winterlude (date varies, throughout Feb) [02-01 to 02-20]",
Guadalajara,Mexico,"culture,food,history,budget-friendly",45,spring,68,20.6597,-103.3496,,
Puerto Vallarta,Mexico,"beach,nightlife,relaxing,romantic",90,winter,78,20.6534,-105.2253,,
San Miguel de Allende,Mexico,"culture,history,romantic,shopping",60,autumn,66,20.9153,-100.7444,,
Guatemala City,Guatemala,"culture,history,budget-friendly",35,winter,50,14.6349,-90.5069,Guatemala Independence Day [09-15],
Managua,Nicaragua,"culture,adventure,budget-friendly",35,winter,42,12.1364,-86.2514,Nicaragua Independence Day [09-15],
Tegucigalpa,Honduras,"culture,history,budget-friendly",30,winter,38,14.0723,-87.1921,Honduras Independence Day [09-15],
San Salvador,El Salvador,"beach,adventure,budget-friendly",35,winter,42,13.6929,-89.2182,El Salvador Independence Day [09-15],
Cali,Colombia,"nightlife,culture,food",40,year-round,60,3.4516,-76.532,Feria de Cali [12-25 to 12-30],
Guayaquil,Ecuador,"culture,food,nightlife",45,year-round,55,-2.1709,-79.9224,Guayaquil Independence Day [10-09],
Arequipa,Peru,"history,culture,mountains,adventure",40,year-round,66,-16.409,-71.5375,,
Valparaiso,Chile,"culture,history,nightlife,romantic",55,summer,70,-33.0472,-71.6127,Valparaiso New Year's Eve Fireworks [12-31],
Ushuaia,Argentina,"nature,adventure,mountains",110,summer,68,-54.8019,-68.303,Argentina Independence Day [07-09],
Iguazu Falls,Argentina,"nature,adventure,romantic",95,summer,82,-25.6953,-54.4367,,
Manaus,Brazil,"nature,adventure,budget-friendly",60,summer,58,-3.119,-60.0217,Brazil Carnival (tied to Easter) [02-03 to 03-09],
Recife,Brazil,"beach,culture,nightlife",55,summer,65,-8.0476,-34.877,Recife Carnival / Galo da Madrugada (tied to Easter) [02-03 to 03-09],
Fortaleza,Brazil,"beach,nightlife,relaxing",55,summer,66,-3.7172,-38.5433,Brazil Carnival (tied to Easter) [02-03 to 03-09],
Kolkata,India,"culture,history,food,budget-friendly",30,winter,65,22.5726,88.3639,Durga Puja [09-20 to 10-20],
Chennai,India,"culture,beach,history,budget-friendly",35,winter,62,13.0827,80.2707,Pongal [01-14 to 01-17],
Bangalore,India,"culture,nightlife,food,shopping",45,winter,72,12.9716,77.5946,,
Hyderabad,India,"culture,history,food,budget-friendly",35,winter,66,17.385,78.4867,,Bonalu Festival [07-15 to 08-15]
Amritsar,India,"history,culture,food,budget-friendly",25,winter,68,31.634,74.8723,Baisakhi (Vaisakhi) [04-13 to 04-14],
Udaipur,India,"romantic,history,culture,luxury",55,winter,78,24.5854,73.7125,,
Varanasi,India,"history,culture,relaxing",30,winter,70,25.3176,82.9739,Dev Deepawali (15 days after Diwali) [11-01 to 11-30],
Rishikesh,India,"adventure,nature,relaxing,budget-friendly",25,spring,66,30.0869,78.2676,,International Yoga Festival [03-01 to 03-07]
Pokhara,Nepal,"mountains,adventure,nature,relaxing",30,autumn,74,28.2096,83.9856,Dashain [09-20 to 10-20]; Tihar [10-15 to 11-15],
Galle,Sri Lanka,"beach,history,relaxing,romantic",45,winter,68,6.0535,80.221,,Galle Literary Festival (schedule has varied/paused in past years) [01-20 to 01-30]
Yangon,Myanmar,"culture,history,budget-friendly",35,winter,55,16.8409,96.1735,Thingyan (Myanmar New Year Water Festival) [04-13 to 04-16],
Bagan,Myanmar,"history,culture,adventure",40,winter,68,21.1717,94.8585,Thingyan (Myanmar New Year Water Festival) [04-13 to 04-16],
Luang Prabang,Laos,"culture,history,relaxing,budget-friendly",35,winter,66,19.8845,102.1348,Pi Mai Lao (Lao New Year) [04-13 to 04-15],
Phnom Penh,Cambodia,"culture,history,budget-friendly,nightlife",35,winter,58,11.5564,104.9282,Khmer New Year [04-13 to 04-15]; Bon Om Touk / Water Festival (full moon) [10-25 to 11-25],
Sapporo,Japan,"nature,food,mountains,adventure",120,winter,72,43.0618,141.3545,Sapporo Snow Festival [02-01 to 02-12],
Nagoya,Japan,"culture,food,shopping",130,spring,60,35.1815,136.9066,,
Fukuoka,Japan,"food,culture,nightlife",110,spring,64,33.5904,130.4017,Hakata Gion Yamakasa [07-01 to 07-15],
Jeju City,South Korea,"nature,beach,relaxing,romantic",100,spring,72,33.4996,126.5312,Jeju Fire Festival [03-01 to 03-15],
Cebu City,Philippines,"beach,adventure,culture",55,winter,68,10.3157,123.8854,Sinulog Festival (3rd Sun of Jan) [01-15 to 01-21],
Boracay,Philippines,"beach,nightlife,relaxing,luxury",90,winter,82,11.9674,121.9248,,
Yogyakarta,Indonesia,"culture,history,adventure,budget-friendly",35,year-round,70,-7.7956,110.3695,,"Sekaten (Islamic calendar, Mawlid — shifts ~11 days earlier each year) [date not reliably mappable to Gregorian calendar]"
Lombok,Indonesia,"beach,nature,adventure,relaxing",60,year-round,68,-8.65,116.3249,,
Chengdu,China,"culture,food,nature,relaxing",55,spring,70,30.5728,104.0668,Chinese New Year [01-21 to 02-20],
Wellington,New Zealand,"culture,nature,food,adventure",140,summer,62,-41.2865,174.7762,,World of WearableArt / WOW [09-20 to 10-12]
