city,country,tags,avg_daily_cost_usd,best_season,popularity_score,latitude,longitude,festivals,festivals_review_needed
Alleppey,India,"beach,relaxing,romantic,nature",55,winter,86,9.4981,76.3388,Nehru Trophy Boat Race (2nd Sat of Aug) [08-08 to 08-14],
Kochi,India,"culture,beach,history,food",45,winter,80,9.9312,76.2673,Cochin Carnival [12-31],
Thekkady,India,"nature,adventure,wildlife",40,winter,66,9.6011,77.1602,,
Kovalam,India,"beach,relaxing,luxury",55,winter,68,8.4004,76.9787,,
Hampi,India,"history,culture,adventure,budget-friendly",25,winter,76,15.335,76.46,Hampi Utsav (Vijaya Utsav) [11-01 to 11-10],
Gokarna,India,"beach,relaxing,budget-friendly",30,winter,65,14.5479,74.3188,,
Pondicherry,India,"culture,beach,relaxing,romantic",45,winter,74,11.9416,79.8083,,
Madurai,India,"history,culture,food",30,winter,68,9.9252,78.1198,Chithirai Festival (Meenakshi Thirukalyanam) [04-15 to 05-05],
Rameswaram,India,"history,culture,beach,spiritual",30,winter,60,9.2876,79.3129,,
Kanyakumari,India,"beach,nature,relaxing",30,winter,62,8.0883,77.5385,,
Hyderabad,India,"culture,history,food,budget-friendly",35,winter,72,17.385,78.4867,,
Vijayawada,India,"culture,history",30,winter,48,16.5062,80.648,,Kanaka Durga Temple Dasara [09-20 to 10-20]
Tirupati,India,"culture,history,spiritual",30,winter,65,13.6288,79.4192,Brahmotsavam [09-15 to 10-10],
Wayanad,India,"nature,adventure,mountains,relaxing",40,winter,68,11.6854,76.132,,
Kolkata,India,"culture,history,food,budget-friendly",30,winter,74,22.5726,88.3639,Durga Puja [09-20 to 10-20],
Darjeeling,India,"mountains,nature,relaxing,romantic",40,autumn,80,27.041,88.2663,,
Gangtok,India,"mountains,nature,adventure,relaxing",45,autumn,78,27.3389,88.6065,Losar (Tibetan New Year) [02-01 to 03-15],
Shillong,India,"nature,adventure,culture",40,autumn,68,25.5788,91.8933,Wangala Festival [11-01 to 11-10],
Kaziranga,India,"nature,adventure,wildlife",50,winter,66,26.5775,93.1714,,
Puri,India,"beach,culture,spiritual",30,winter,68,19.8135,85.8312,Rath Yatra [06-15 to 07-15],
Bhubaneswar,India,"culture,history",30,winter,55,20.2961,85.8245,,
Konark,India,"history,culture",25,winter,60,19.8876,86.0945,Konark Dance Festival [12-01 to 12-05],
Digha,India,"beach,relaxing,budget-friendly",25,winter,45,21.6274,87.5088,,
Guwahati,India,"culture,nature,food",35,winter,58,26.1445,91.7362,Bihu (Rongali/Bohag Bihu) [04-14 to 04-20],
Tawang,India,"mountains,nature,culture,adventure",45,autumn,62,27.5859,91.8594,Torgya Festival [01-15 to 02-15],
Ziro Valley,India,"nature,adventure,culture",40,autumn,55,27.548,93.832,Ziro Music Festival [09-20 to 09-25],
Majuli,India,"nature,culture,budget-friendly",30,winter,50,26.9526,94.1736,Raas Mahotsav (Kartik Purnima) [11-01 to 11-15],
Port Blair,India,"beach,adventure,relaxing",70,winter,72,11.6234,92.7265,,
Havelock Island,India,"beach,relaxing,luxury,adventure",85,winter,80,11.9698,92.98,,
Lakshadweep,India,"beach,relaxing,luxury,nature",120,winter,70,10.5667,72.6417,,
Fatehpur Sikri,India,"history,culture",25,winter,55,27.094,77.6711,,
Sarnath,India,"history,culture,spiritual",25,winter,50,25.3811,83.021,Buddha Purnima (Vesak) [05-01 to 05-24],
Bodh Gaya,India,"culture,history,spiritual",25,winter,60,24.6959,84.9917,Buddha Purnima (Vesak) [05-01 to 05-24],
Patna,India,"culture,history",25,winter,45,25.5941,85.1376,Chhath Puja [10-25 to 11-20],
Ranchi,India,"nature,adventure",30,winter,42,23.3441,85.3096,,
Raipur,India,"culture,nature",30,winter,40,21.2514,81.6296,,
Indore,India,"food,culture,shopping",30,winter,58,22.7196,75.8577,,Ahilya Utsav [08-20 to 08-31]
Ujjain,India,"culture,history,spiritual",25,winter,52,23.1765,75.7885,Mahashivratri (Mahakaleshwar Temple) [02-20 to 03-10],
Diu,India,"beach,relaxing,history",35,winter,55,20.7144,70.9874,,
Daman,India,"beach,relaxing",30,winter,40,20.3974,72.8328,,
Chikmagalur,India,"nature,mountains,relaxing",35,winter,56,13.3161,75.772,,
Bhuj,India,"culture,history,adventure",35,winter,58,23.242,69.6669,Rann Utsav [11-01 to 02-20],
Dwarka,India,"culture,spiritual,history",30,winter,52,22.2394,68.9678,Janmashtami [08-15 to 09-05],
Somnath,India,"culture,spiritual,history",30,winter,50,20.888,70.4012,,
Kevadia,India,"culture,history,family-friendly",40,winter,62,21.838,73.7191,Rashtriya Ekta Diwas (National Unity Day) [10-31],
Auroville,India,"culture,spiritual,relaxing",35,winter,48,12.0068,79.8106,,
Yercaud,India,"nature,mountains,relaxing",30,summer,44,11.7753,78.2098,,
